what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487526975
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487528772
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385487529959
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1385487531834
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1385487536194
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1385487537397
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385487828696
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490120648
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385490128208
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490128708
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490138429
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490146708
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1385490163149
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490173034
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1385490173127
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1385490173127
